敵アルラウネ1,"Map058.json,events,1,name"
她反击了。,"Map058.json,events,7,pages,7,list,13,parameters,0"
但是……爱娜温们无视了她的反应,"Map058.json,events,7,pages,7,list,14,parameters,0"
只是关心她的身体状况。,"Map058.json,events,7,pages,7,list,15,parameters,0"
通常情况下，不会对人类说『口渴了吗？』。\!,"Map058.json,events,7,pages,7,list,17,parameters,0"
这样说话是因为，对于爱娜温们来说,"Map058.json,events,7,pages,7,list,18,parameters,0"
现在的她们是同族，是伙伴――。,"Map058.json,events,7,pages,7,list,19,parameters,0"
爱娜温,"Map058.json,events,7,pages,7,list,21,parameters,0"
「现在的话，去北边的建筑那边,"Map058.json,events,7,pages,7,list,22,parameters,0"
可以好好享受阳光和水哦～♪」,"Map058.json,events,7,pages,7,list,23,parameters,0"
太阳。日光。\!,"Map058.json,events,7,pages,7,list,25,parameters,0"
这个词在脑海中重复。,"Map058.json,events,7,pages,7,list,26,parameters,0"
太阳会分泌出花蜜，流动到全身成为营养,"Map058.json,events,7,pages,7,list,28,parameters,0"
水分则通过花蜜高效地活化。,"Map058.json,events,7,pages,7,list,29,parameters,0"
这是爱娜温所需要的营养。,"Map058.json,events,7,pages,7,list,30,parameters,0"
\C[27]清彦,"Map058.json,events,7,pages,7,list,33,parameters,0"
「（水……太阳）」,"Map058.json,events,7,pages,7,list,34,parameters,0"
感觉真好。,"Map058.json,events,7,pages,7,list,36,parameters,0"
就像人类泡温泉时,"Map058.json,events,7,pages,7,list,37,parameters,0"
吃喝一体的酒和小吃一样。,"Map058.json,events,7,pages,7,list,38,parameters,0"
\!一个可以享受两种乐趣。,"Map058.json,events,7,pages,7,list,39,parameters,0"
想象着同时享用这两样东西,"Map058.json,events,7,pages,7,list,42,parameters,0"
她的身体扭动着，愉悦的样子。,"Map058.json,events,7,pages,7,list,43,parameters,0"
\!\C[18]从出生开始就像爱娜温一样。,"Map058.json,events,7,pages,7,list,44,parameters,0"
爱娜温,"Map058.json,events,7,pages,7,list,46,parameters,0"
「脸色变好了吗？,"Map058.json,events,7,pages,7,list,47,parameters,0"
那我就先告辞了～」,"Map058.json,events,7,pages,7,list,48,parameters,0"
\C[27]清彦,"Map058.json,events,7,pages,7,list,51,parameters,0"
「哈！」,"Map058.json,events,7,pages,7,list,52,parameters,0"
现在，她在做什么呢。,"Map058.json,events,7,pages,7,list,54,parameters,0"
感受到阳光和水分，知道了,"Map058.json,events,7,pages,7,list,55,parameters,0"
这是多么舒服的事情。,"Map058.json,events,7,pages,7,list,56,parameters,0"
\C[27]清彦,"Map058.json,events,7,pages,7,list,59,parameters,0"
「（明明不应该在做这种事！）」,"Map058.json,events,7,pages,7,list,60,parameters,0"
现在必须赶快回到城里……！,"Map058.json,events,7,pages,7,list,62,parameters,0"
她发誓着。,"Map058.json,events,7,pages,7,list,63,parameters,0"
爱娜温,"Map058.json,events,7,pages,8,list,1,parameters,0"
「今天也是好天气呢～」,"Map058.json,events,7,pages,8,list,2,parameters,0"
\C[27]爱娜温,"Map058.json,events,7,pages,8,list,5,parameters,0"
「是呢～♡,"Map058.json,events,7,pages,8,list,6,parameters,0"
嘿嘿。我今天也很幸福♪」,"Map058.json,events,7,pages,8,list,7,parameters,0"
