姐姐,"Map004.json,events,2,name"
下次问问吸血姬吧」,"Map004.json,events,4,pages,3,list,23,parameters,0"
否,"Map004.json,events,4,pages,3,list,27,parameters,1"
\C[27]清香,"Map004.json,events,4,pages,4,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,4,pages,4,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,4,pages,4,list,6,parameters,0"
兴奋地翻开页，想再读一遍。,"Map004.json,events,4,pages,4,list,7,parameters,0"
\C[27]清香,"Map004.json,events,4,pages,4,list,10,parameters,0"
「果然……看不懂啊」,"Map004.json,events,4,pages,4,list,11,parameters,0"
\C[27]清香,"Map004.json,events,4,pages,4,list,15,parameters,0"
「嗯……？看不，懂……？」,"Map004.json,events,4,pages,4,list,16,parameters,0"
看过的画面，熟悉的文字排列。,"Map004.json,events,4,pages,4,list,20,parameters,0"
但是……文字像密码一样杂乱无章地排列着。,"Map004.json,events,4,pages,4,list,21,parameters,0"
这里写着这样的事情。,"Map004.json,events,4,pages,4,list,23,parameters,0"
虽然记得读过的书，但……。,"Map004.json,events,4,pages,4,list,24,parameters,0"
那些文字一点也想不起来。,"Map004.json,events,4,pages,4,list,25,parameters,0"
\C[27]清香,"Map004.json,events,4,pages,4,list,27,parameters,0"
「……要努力学习」,"Map004.json,events,4,pages,4,list,28,parameters,0"
两次学习相同的文字。,"Map004.json,events,4,pages,4,list,30,parameters,0"
可能只有自己在世界上经历过这种事情……她这样想。,"Map004.json,events,4,pages,4,list,31,parameters,0"
\C[27]清香,"Map004.json,events,4,pages,5,list,2,parameters,0"
「果然只能读——。,"Map004.json,events,4,pages,5,list,3,parameters,0"
只会平假名和片假名……」,"Map004.json,events,4,pages,5,list,4,parameters,0"
用手拿起，用手展开，用眼阅读的书籍。,"Map004.json,events,4,pages,6,list,1,parameters,0"
老少皆宜，有时可用于教育,"Map004.json,events,4,pages,6,list,2,parameters,0"
或者自己做笔记的方便之物。,"Map004.json,events,4,pages,6,list,3,parameters,0"
瞥了一眼，看着变得面目全非的双手。,"Map004.json,events,4,pages,6,list,6,parameters,0"
发出沙沙声的“へ”字弯曲的手臂。,"Map004.json,events,4,pages,6,list,7,parameters,0"
指头什么的完全找不到了。,"Map004.json,events,4,pages,6,list,8,parameters,0"
这样的话几乎不可能读书了。,"Map004.json,events,4,pages,6,list,10,parameters,0"
就算用翅膀的骨头部分，即使勉强能够,"Map004.json,events,4,pages,6,list,11,parameters,0"
使用，也会非常不方便，就算是读一页,"Map004.json,events,4,pages,6,list,12,parameters,0"
也会相当困难吧。,"Map004.json,events,4,pages,6,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,6,list,16,parameters,0"
「（用脚来做的话，又会像那天记事本,"Map004.json,events,4,pages,6,list,17,parameters,0"
一样被破坏掉吧……）」,"Map004.json,events,4,pages,6,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,6,list,22,parameters,0"
「（用脚上的爪子能不能行呢……？,"Map004.json,events,4,pages,6,list,23,parameters,0"
不，做些笨拙的事情的话会被电到。,"Map004.json,events,4,pages,6,list,24,parameters,0"
……真想快点回去啊）」,"Map004.json,events,4,pages,6,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,7,list,1,parameters,0"
「（还是不要拿书了）」,"Map004.json,events,4,pages,7,list,2,parameters,0"
有一本叫做《关于精灵》的书。,"Map004.json,events,5,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,5,pages,0,list,2,parameters,0"
是,"Map004.json,events,5,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,5,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,5,pages,0,list,4,parameters,1"
『精灵』是魔物娘的一种。,"Map004.json,events,5,pages,0,list,8,parameters,0"
虽然是魔物……但几乎和人类没有什么区别。,"Map004.json,events,5,pages,0,list,10,parameters,0"
唯一不同的是耳朵长而尖锐。,"Map004.json,events,5,pages,0,list,11,parameters,0"
她们几乎不会离开村庄。,"Map004.json,events,5,pages,0,list,13,parameters,0"
而且据说还用魔法让村庄看不见。,"Map004.json,events,5,pages,0,list,14,parameters,0"
因此，作为非常稀有的魔物娘，非常受欢迎。,"Map004.json,events,5,pages,0,list,15,parameters,0"
如果被抓住，被拍卖成奴隶的话,"Map004.json,events,5,pages,0,list,17,parameters,0"
肯定非常受欢迎……。,"Map004.json,events,5,pages,0,list,18,parameters,0"
否,"Map004.json,events,5,pages,0,list,20,parameters,1"
有一本叫做《关于精灵》的书。,"Map004.json,events,5,pages,1,list,1,parameters,0"
要读吗？,"Map004.json,events,5,pages,1,list,2,parameters,0"
是,"Map004.json,events,5,pages,1,list,3,parameters,0,0"
否,"Map004.json,events,5,pages,1,list,3,parameters,0,1"
是,"Map004.json,events,5,pages,1,list,4,parameters,1"
『精灵』是魔物娘的一种。,"Map004.json,events,5,pages,1,list,8,parameters,0"
虽然是魔物……但几乎和人类没有什么区别。,"Map004.json,events,5,pages,1,list,10,parameters,0"
唯一不同的是耳朵长而尖锐。,"Map004.json,events,5,pages,1,list,11,parameters,0"
她们几乎不会离开村庄。,"Map004.json,events,5,pages,1,list,13,parameters,0"
而且据说还用魔法让村庄看不见。,"Map004.json,events,5,pages,1,list,14,parameters,0"
因此，作为非常稀有的魔物娘，非常受欢迎。,"Map004.json,events,5,pages,1,list,15,parameters,0"
如果被抓住，被拍卖成奴隶的话,"Map004.json,events,5,pages,1,list,17,parameters,0"
肯定非常受欢迎……。,"Map004.json,events,5,pages,1,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,5,pages,1,list,20,parameters,0"
「（能去那样的村庄，真是珍贵的经历啊……）」,"Map004.json,events,5,pages,1,list,21,parameters,0"
否,"Map004.json,events,5,pages,1,list,23,parameters,1"
\C[27]清香,"Map004.json,events,5,pages,2,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,5,pages,2,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,5,pages,2,list,6,parameters,0"
兴奋地翻开页，想再读一遍。,"Map004.json,events,5,pages,2,list,7,parameters,0"
\C[27]清香,"Map004.json,events,5,pages,2,list,10,parameters,0"
「果然……看不懂啊」,"Map004.json,events,5,pages,2,list,11,parameters,0"
\C[27]清香,"Map004.json,events,5,pages,2,list,15,parameters,0"
「嗯……？看不，懂……？」,"Map004.json,events,5,pages,2,list,16,parameters,0"
看过的画面，熟悉的文字排列。,"Map004.json,events,5,pages,2,list,20,parameters,0"
但是……文字像密码一样杂乱无章地排列着。,"Map004.json,events,5,pages,2,list,21,parameters,0"
这里写着这样的事情。,"Map004.json,events,5,pages,2,list,23,parameters,0"
虽然记得读过的书，但……。,"Map004.json,events,5,pages,2,list,24,parameters,0"
那些文字一点也想不起来。,"Map004.json,events,5,pages,2,list,25,parameters,0"
\C[27]清香,"Map004.json,events,5,pages,2,list,27,parameters,0"
「……要努力学习」,"Map004.json,events,5,pages,2,list,28,parameters,0"
两次学习相同的文字。,"Map004.json,events,5,pages,2,list,30,parameters,0"
可能只有自己在世界上经历过这种事情……她这样想。,"Map004.json,events,5,pages,2,list,31,parameters,0"
\C[27]清香,"Map004.json,events,5,pages,3,list,2,parameters,0"
「果然只能读——。,"Map004.json,events,5,pages,3,list,3,parameters,0"
只会平假名和片假名……」,"Map004.json,events,5,pages,3,list,4,parameters,0"
用手拿起，用手展开，用眼阅读的书籍。,"Map004.json,events,5,pages,4,list,1,parameters,0"
老少皆宜，有时可用于教育,"Map004.json,events,5,pages,4,list,2,parameters,0"
或者自己做笔记的方便之物。,"Map004.json,events,5,pages,4,list,3,parameters,0"
瞥了一眼，看着变得面目全非的双手。,"Map004.json,events,5,pages,4,list,6,parameters,0"
发出沙沙声的“へ”字弯曲的手臂。,"Map004.json,events,5,pages,4,list,7,parameters,0"
指头什么的完全找不到了。,"Map004.json,events,5,pages,4,list,8,parameters,0"
这样的话几乎不可能读书了。,"Map004.json,events,5,pages,4,list,10,parameters,0"
就算用翅膀的骨头部分，即使勉强能够,"Map004.json,events,5,pages,4,list,11,parameters,0"
使用，也会非常不方便，就算是读一页,"Map004.json,events,5,pages,4,list,12,parameters,0"
也会相当困难吧。,"Map004.json,events,5,pages,4,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,5,pages,4,list,16,parameters,0"
「（用脚来做的话，又会像那天记事本,"Map004.json,events,5,pages,4,list,17,parameters,0"
一样被破坏掉吧……）」,"Map004.json,events,5,pages,4,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,5,pages,4,list,22,parameters,0"
「（用脚上的爪子能不能行呢……？,"Map004.json,events,5,pages,4,list,23,parameters,0"
不，做些笨拙的事情的话会被电到。,"Map004.json,events,5,pages,4,list,24,parameters,0"
……真想快点回去啊）」,"Map004.json,events,5,pages,4,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,5,pages,5,list,1,parameters,0"
「（还是不要拿书了）」,"Map004.json,events,5,pages,5,list,2,parameters,0"
有一本叫做《关于阿露娜》的书。,"Map004.json,events,6,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,6,pages,0,list,2,parameters,0"
是,"Map004.json,events,6,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,6,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,6,pages,0,list,4,parameters,1"
『阿露娜』,"Map004.json,events,6,pages,0,list,7,parameters,0"
下半身是植物，上半身是人类的魔物娘。,"Map004.json,events,6,pages,0,list,8,parameters,0"
她们晒太阳，从根部吸收水分作为营养。,"Map004.json,events,6,pages,0,list,10,parameters,0"
性格悠闲，不喜欢与他人争斗。,"Map004.json,events,6,pages,0,list,11,parameters,0"
如果看到她们，最好放任不管,"Map004.json,events,6,pages,0,list,13,parameters,0"
如果被搭话，最好礼貌地,"Map004.json,events,6,pages,0,list,14,parameters,0"
回答对话。,"Map004.json,events,6,pages,0,list,15,parameters,0"
从阿露娜的玫瑰中提取的蜜，是最高级的调味料。,"Map004.json,events,6,pages,0,list,17,parameters,0"
用它做的煎饼绝对是绝品。,"Map004.json,events,6,pages,0,list,18,parameters,0"
一小瓶就相当于两三个月的工资。,"Map004.json,events,6,pages,0,list,19,parameters,0"
……她们似乎不愿意给人。,"Map004.json,events,6,pages,0,list,20,parameters,0"
如果有机会吃到的话，我想尝试一下。,"Map004.json,events,6,pages,0,list,22,parameters,0"
但……我可能一辈子都吃不到。,"Map004.json,events,6,pages,0,list,23,parameters,0"
否,"Map004.json,events,6,pages,0,list,25,parameters,1"
有一本叫做《关于阿露娜》的书。,"Map004.json,events,6,pages,1,list,1,parameters,0"
要读吗？,"Map004.json,events,6,pages,1,list,2,parameters,0"
是,"Map004.json,events,6,pages,1,list,3,parameters,0,0"
否,"Map004.json,events,6,pages,1,list,3,parameters,0,1"
是,"Map004.json,events,6,pages,1,list,4,parameters,1"
『阿露娜』,"Map004.json,events,6,pages,1,list,7,parameters,0"
下半身是植物，上半身是人类的魔物娘。,"Map004.json,events,6,pages,1,list,8,parameters,0"
她们晒太阳，从根部吸收水分作为营养。,"Map004.json,events,6,pages,1,list,10,parameters,0"
性格悠闲，不喜欢与他人争斗。,"Map004.json,events,6,pages,1,list,11,parameters,0"
如果看到她们，最好放任不管,"Map004.json,events,6,pages,1,list,13,parameters,0"
如果被搭话，最好礼貌地,"Map004.json,events,6,pages,1,list,14,parameters,0"
回答对话。,"Map004.json,events,6,pages,1,list,15,parameters,0"
从阿露娜的玫瑰中提取的蜜，是最高级的调味料。,"Map004.json,events,6,pages,1,list,17,parameters,0"
用它做的煎饼绝对是绝品。,"Map004.json,events,6,pages,1,list,18,parameters,0"
一小瓶就相当于两三个月的工资。,"Map004.json,events,6,pages,1,list,19,parameters,0"
……她们似乎不愿意给人。,"Map004.json,events,6,pages,1,list,20,parameters,0"
如果有机会吃到的话，我想尝试一下。,"Map004.json,events,6,pages,1,list,22,parameters,0"
但……我可能一辈子都吃不到。,"Map004.json,events,6,pages,1,list,23,parameters,0"
清彦,"Map004.json,events,6,pages,1,list,26,parameters,0"
「悠闲……吗」,"Map004.json,events,6,pages,1,list,27,parameters,0"
用悠闲的表情,"Map004.json,events,6,pages,1,list,29,parameters,0"
毫不留情地压迫着像铁球一样的东西。,"Map004.json,events,6,pages,1,list,30,parameters,0"
从这样的她们那里，总是能逃脱……。,"Map004.json,events,6,pages,1,list,31,parameters,0"
清彦,"Map004.json,events,6,pages,1,list,33,parameters,0"
「如果可能的话，那种事情再也不要了」,"Map004.json,events,6,pages,1,list,34,parameters,0"
否,"Map004.json,events,6,pages,1,list,38,parameters,1"
\C[27]清香,"Map004.json,events,6,pages,2,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,6,pages,2,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,6,pages,2,list,6,parameters,0"
兴奋地翻开页，想再读一遍。,"Map004.json,events,6,pages,2,list,7,parameters,0"
\C[27]清香,"Map004.json,events,6,pages,2,list,10,parameters,0"
「果然……看不懂啊」,"Map004.json,events,6,pages,2,list,11,parameters,0"
\C[27]清香,"Map004.json,events,6,pages,2,list,15,parameters,0"
「嗯……？看不，懂……？」,"Map004.json,events,6,pages,2,list,16,parameters,0"
看过的画面，熟悉的文字排列。,"Map004.json,events,6,pages,2,list,20,parameters,0"
但是……文字像密码一样杂乱无章地排列着。,"Map004.json,events,6,pages,2,list,21,parameters,0"
这里写着这样的事情。,"Map004.json,events,6,pages,2,list,23,parameters,0"
虽然记得读过的书，但……。,"Map004.json,events,6,pages,2,list,24,parameters,0"
那些文字一点也想不起来。,"Map004.json,events,6,pages,2,list,25,parameters,0"
\C[27]清香,"Map004.json,events,6,pages,2,list,27,parameters,0"
「……要努力学习」,"Map004.json,events,6,pages,2,list,28,parameters,0"
两次学习相同的文字。,"Map004.json,events,6,pages,2,list,30,parameters,0"
可能只有自己在世界上经历过这种事情……她这样想。,"Map004.json,events,6,pages,2,list,31,parameters,0"
\C[27]清香,"Map004.json,events,6,pages,3,list,2,parameters,0"
「果然只能读——。,"Map004.json,events,6,pages,3,list,3,parameters,0"
只会平假名和片假名……」,"Map004.json,events,6,pages,3,list,4,parameters,0"
用手拿起，用手展开，用眼阅读的书籍。,"Map004.json,events,6,pages,4,list,1,parameters,0"
老少皆宜，有时可用于教育,"Map004.json,events,6,pages,4,list,2,parameters,0"
或者自己做笔记的方便之物。,"Map004.json,events,6,pages,4,list,3,parameters,0"
瞥了一眼，看着变得面目全非的双手。,"Map004.json,events,6,pages,4,list,6,parameters,0"
发出沙沙声的“へ”字弯曲的手臂。,"Map004.json,events,6,pages,4,list,7,parameters,0"
指头什么的完全找不到了。,"Map004.json,events,6,pages,4,list,8,parameters,0"
这样的话几乎不可能读书了。,"Map004.json,events,6,pages,4,list,10,parameters,0"
就算用翅膀的骨头部分，即使勉强能够,"Map004.json,events,6,pages,4,list,11,parameters,0"
使用，也会非常不方便，就算是读一页,"Map004.json,events,6,pages,4,list,12,parameters,0"
也会相当困难吧。,"Map004.json,events,6,pages,4,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,6,pages,4,list,16,parameters,0"
「（用脚来做的话，又会像那天记事本,"Map004.json,events,6,pages,4,list,17,parameters,0"
一样被破坏掉吧……）」,"Map004.json,events,6,pages,4,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,6,pages,4,list,22,parameters,0"
「（用脚上的爪子能不能行呢……？,"Map004.json,events,6,pages,4,list,23,parameters,0"
不，做些笨拙的事情的话会被电到。,"Map004.json,events,6,pages,4,list,24,parameters,0"
……真想快点回去啊）」,"Map004.json,events,6,pages,4,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,6,pages,5,list,1,parameters,0"
「（还是不要拿书了）」,"Map004.json,events,6,pages,5,list,2,parameters,0"
有一本叫做《关于魔物娘》的书。,"Map004.json,events,7,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,7,pages,0,list,2,parameters,0"
是,"Map004.json,events,7,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,7,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,7,pages,0,list,4,parameters,1"
魔物娘，顾名思义就是魔物的女儿。,"Map004.json,events,7,pages,0,list,7,parameters,0"
魔物是指异形的怪物。,"Map004.json,events,7,pages,0,list,9,parameters,0"
凶暴性也很高，有时会吃掉人类。,"Map004.json,events,7,pages,0,list,10,parameters,0"
拥有这样魔物特征的就是魔物娘。,"Map004.json,events,7,pages,0,list,11,parameters,0"
她们的知识很高，和人类一样。,"Map004.json,events,7,pages,0,list,13,parameters,0"
如果友好对待，也有可能成为朋友。,"Map004.json,events,7,pages,0,list,14,parameters,0"
在魔物娘中，也有一些在人类中工作的人。,"Map004.json,events,7,pages,0,list,15,parameters,0"
但请小心。,"Map004.json,events,7,pages,0,list,17,parameters,0"
有些人只是假装友好引诱,"Map004.json,events,7,pages,0,list,18,parameters,0"
有些根据性别，会被当作育苗床或○○机器。,"Map004.json,events,7,pages,0,list,19,parameters,0"
无论如何，距离关系都很重要。,"Map004.json,events,7,pages,0,list,20,parameters,0"
否,"Map004.json,events,7,pages,0,list,22,parameters,1"
\C[27]清香,"Map004.json,events,7,pages,1,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,7,pages,1,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,7,pages,1,list,6,parameters,0"
兴奋地翻开页，想再读一遍。,"Map004.json,events,7,pages,1,list,7,parameters,0"
\C[27]清香,"Map004.json,events,7,pages,1,list,10,parameters,0"
「果然……看不懂啊」,"Map004.json,events,7,pages,1,list,11,parameters,0"
\C[27]清香,"Map004.json,events,7,pages,1,list,15,parameters,0"
「嗯……？看不，懂……？」,"Map004.json,events,7,pages,1,list,16,parameters,0"
看过的画面，熟悉的文字排列。,"Map004.json,events,7,pages,1,list,20,parameters,0"
但是……文字像密码一样杂乱无章地排列着。,"Map004.json,events,7,pages,1,list,21,parameters,0"
这里写着这样的事情。,"Map004.json,events,7,pages,1,list,23,parameters,0"
虽然记得读过的书，但……。,"Map004.json,events,7,pages,1,list,24,parameters,0"
那些文字一点也想不起来。,"Map004.json,events,7,pages,1,list,25,parameters,0"
\C[27]清香,"Map004.json,events,7,pages,1,list,27,parameters,0"
「……要努力学习」,"Map004.json,events,7,pages,1,list,28,parameters,0"
两次学习相同的文字。,"Map004.json,events,7,pages,1,list,30,parameters,0"
可能只有自己在世界上经历过这种事情……她这样想。,"Map004.json,events,7,pages,1,list,31,parameters,0"
\C[27]清香,"Map004.json,events,7,pages,2,list,2,parameters,0"
「果然只能读——。,"Map004.json,events,7,pages,2,list,3,parameters,0"
只会平假名和片假名……」,"Map004.json,events,7,pages,2,list,4,parameters,0"
用手拿起，用手展开，用眼阅读的书籍。,"Map004.json,events,7,pages,3,list,1,parameters,0"
老少皆宜，有时可用于教育,"Map004.json,events,7,pages,3,list,2,parameters,0"
或者自己做笔记的方便之物。,"Map004.json,events,7,pages,3,list,3,parameters,0"
瞥了一眼，看着变得面目全非的双手。,"Map004.json,events,7,pages,3,list,6,parameters,0"
发出沙沙声的“へ”字弯曲的手臂。,"Map004.json,events,7,pages,3,list,7,parameters,0"
指头什么的完全找不到了。,"Map004.json,events,7,pages,3,list,8,parameters,0"
这样的话几乎不可能读书了。,"Map004.json,events,7,pages,3,list,10,parameters,0"
就算用翅膀的骨头部分，即使勉强能够,"Map004.json,events,7,pages,3,list,11,parameters,0"
使用，也会非常不方便，就算是读一页,"Map004.json,events,7,pages,3,list,12,parameters,0"
也会相当困难吧。,"Map004.json,events,7,pages,3,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,7,pages,3,list,16,parameters,0"
「（用脚来做的话，又会像那天记事本,"Map004.json,events,7,pages,3,list,17,parameters,0"
一样被破坏掉吧……）」,"Map004.json,events,7,pages,3,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,7,pages,3,list,22,parameters,0"
「（用脚上的爪子能不能行呢……？,"Map004.json,events,7,pages,3,list,23,parameters,0"
不，做些笨拙的事情的话会被电到。,"Map004.json,events,7,pages,3,list,24,parameters,0"
……真想快点回去啊）」,"Map004.json,events,7,pages,3,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,7,pages,4,list,1,parameters,0"
「（还是不要拿书了）」,"Map004.json,events,7,pages,4,list,2,parameters,0"
有一本叫做《关于妖狐》的书。,"Map004.json,events,8,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,8,pages,0,list,2,parameters,0"
是,"Map004.json,events,8,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,8,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,8,pages,0,list,4,parameters,1"
『妖狐』。,"Map004.json,events,8,pages,0,list,8,parameters,0"
是给人类女性,"Map004.json,events,8,pages,0,list,9,parameters,0"
长着狐耳和尾巴的魔物娘。,"Map004.json,events,8,pages,0,list,10,parameters,0"
那狐耳和尾巴非常软绵绵的,"Map004.json,events,8,pages,0,list,12,parameters,0"
据说触感非常好。,"Map004.json,events,8,pages,0,list,13,parameters,0"
听说有些妖狐长出了多个尾巴。,"Map004.json,events,8,pages,0,list,15,parameters,0"
尾巴越多，妖力越高。,"Map004.json,events,8,pages,0,list,16,parameters,0"
普通的冒险者无法与之匹敌，所以要小心。,"Map004.json,events,8,pages,0,list,17,parameters,0"
否,"Map004.json,events,8,pages,0,list,19,parameters,1"
有一本叫做《关于妖狐》的书。,"Map004.json,events,8,pages,1,list,1,parameters,0"
要读吗？,"Map004.json,events,8,pages,1,list,2,parameters,0"
是,"Map004.json,events,8,pages,1,list,3,parameters,0,0"
否,"Map004.json,events,8,pages,1,list,3,parameters,0,1"
是,"Map004.json,events,8,pages,1,list,4,parameters,1"
『妖狐』。,"Map004.json,events,8,pages,1,list,8,parameters,0"
是给人类女性,"Map004.json,events,8,pages,1,list,9,parameters,0"
长着狐耳和尾巴的魔物娘。,"Map004.json,events,8,pages,1,list,10,parameters,0"
那狐耳和尾巴非常软绵绵的,"Map004.json,events,8,pages,1,list,12,parameters,0"
据说触感非常好。,"Map004.json,events,8,pages,1,list,13,parameters,0"
听说有些妖狐长出了多个尾巴。,"Map004.json,events,8,pages,1,list,15,parameters,0"
尾巴越多，妖力越高。,"Map004.json,events,8,pages,1,list,16,parameters,0"
普通的冒险者无法与之匹敌，所以要小心。,"Map004.json,events,8,pages,1,list,17,parameters,0"
\C[27]清彦,"Map004.json,events,8,pages,1,list,19,parameters,0"
「大妖狐应该有多强呢。,"Map004.json,events,8,pages,1,list,20,parameters,0"
虽然最后并没有战斗，只是模拟战……,"Map004.json,events,8,pages,1,list,21,parameters,0"
下次也请她帮忙吧？」,"Map004.json,events,8,pages,1,list,22,parameters,0"
否,"Map004.json,events,8,pages,1,list,24,parameters,1"
\C[27]清香,"Map004.json,events,8,pages,2,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,8,pages,2,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,8,pages,2,list,6,parameters,0"
兴奋地翻开页，想再读一遍。,"Map004.json,events,8,pages,2,list,7,parameters,0"
\C[27]清香,"Map004.json,events,8,pages,2,list,10,parameters,0"
「果然……看不懂啊」,"Map004.json,events,8,pages,2,list,11,parameters,0"
\C[27]清香,"Map004.json,events,8,pages,2,list,15,parameters,0"
「嗯……？看不，懂……？」,"Map004.json,events,8,pages,2,list,16,parameters,0"
看过的画面，熟悉的文字排列。,"Map004.json,events,8,pages,2,list,20,parameters,0"
但是……文字像密码一样杂乱无章地排列着。,"Map004.json,events,8,pages,2,list,21,parameters,0"
这里写着这样的事情。,"Map004.json,events,8,pages,2,list,23,parameters,0"
虽然记得读过的书，但……。,"Map004.json,events,8,pages,2,list,24,parameters,0"
那些文字一点也想不起来。,"Map004.json,events,8,pages,2,list,25,parameters,0"
\C[27]清香,"Map004.json,events,8,pages,2,list,27,parameters,0"
「……要努力学习」,"Map004.json,events,8,pages,2,list,28,parameters,0"
两次学习相同的文字。,"Map004.json,events,8,pages,2,list,30,parameters,0"
可能只有自己在世界上经历过这种事情……她这样想。,"Map004.json,events,8,pages,2,list,31,parameters,0"
\C[27]清香,"Map004.json,events,8,pages,3,list,2,parameters,0"
「果然只能读——。,"Map004.json,events,8,pages,3,list,3,parameters,0"
只会平假名和片假名……」,"Map004.json,events,8,pages,3,list,4,parameters,0"
用手拿起，用手展开，用眼阅读的书籍。,"Map004.json,events,8,pages,4,list,1,parameters,0"
老少皆宜，有时可用于教育,"Map004.json,events,8,pages,4,list,2,parameters,0"
或者自己做笔记的方便之物。,"Map004.json,events,8,pages,4,list,3,parameters,0"
瞥了一眼，看着变得面目全非的双手。,"Map004.json,events,8,pages,4,list,6,parameters,0"
发出沙沙声的“へ”字弯曲的手臂。,"Map004.json,events,8,pages,4,list,7,parameters,0"
指头什么的完全找不到了。,"Map004.json,events,8,pages,4,list,8,parameters,0"
这样的话几乎不可能读书了。,"Map004.json,events,8,pages,4,list,10,parameters,0"
就算用翅膀的骨头部分，即使勉强能够,"Map004.json,events,8,pages,4,list,11,parameters,0"
使用，也会非常不方便，就算是读一页,"Map004.json,events,8,pages,4,list,12,parameters,0"
也会相当困难吧。,"Map004.json,events,8,pages,4,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,8,pages,4,list,16,parameters,0"
「（用脚来做的话，又会像那天记事本,"Map004.json,events,8,pages,4,list,17,parameters,0"
一样被破坏掉吧……）」,"Map004.json,events,8,pages,4,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,8,pages,4,list,22,parameters,0"
「（用脚上的爪子能不能行呢……？,"Map004.json,events,8,pages,4,list,23,parameters,0"
不，做些笨拙的事情的话会被电到。,"Map004.json,events,8,pages,4,list,24,parameters,0"
……真想快点回去啊）」,"Map004.json,events,8,pages,4,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,8,pages,5,list,1,parameters,0"
「（还是不要拿书了）」,"Map004.json,events,8,pages,5,list,2,parameters,0"
有一本叫做《关于人鱼》的书。,"Map004.json,events,9,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,9,pages,0,list,2,parameters,0"
是,"Map004.json,events,9,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,9,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,9,pages,0,list,4,parameters,1"
『人鱼』,"Map004.json,events,9,pages,0,list,7,parameters,0"
听到这个词，会有人明白吗。,"Map004.json,events,9,pages,0,list,8,parameters,0"
字面意思上，就像是人和鱼合在一起的魔物娘。,"Map004.json,events,9,pages,0,list,9,parameters,0"
也叫做『美人鱼』。,"Map004.json,events,9,pages,0,list,10,parameters,0"
所谓的。之所以这么说，是因为有原因。,"Map004.json,events,9,pages,0,list,12,parameters,0"
这个魔物娘据说在数百年前就灭绝了。,"Map004.json,events,9,pages,0,list,13,parameters,0"
灭绝的原因不明。,"Map004.json,events,9,pages,0,list,14,parameters,0"
是被其他魔物娘当作敌人而灭绝的，还是……。,"Map004.json,events,9,pages,0,list,15,parameters,0"
最后，她们是在哪里被发现的，也没有记录。,"Map004.json,events,9,pages,0,list,17,parameters,0"
如果……如果找到了，会怎么样呢？,"Map004.json,events,9,pages,0,list,18,parameters,0"
即使是遥远的偏远村庄，也肯定会有人聚集。,"Map004.json,events,9,pages,0,list,19,parameters,0"
迟早，这个魔物娘将不是拍卖品,"Map004.json,events,9,pages,0,list,21,parameters,0"
而是在某个国家被保管的珍贵生物。,"Map004.json,events,9,pages,0,list,22,parameters,0"
虽然不至于死亡，但身体会被检查……。,"Map004.json,events,9,pages,0,list,23,parameters,0"
否,"Map004.json,events,9,pages,0,list,25,parameters,1"
\C[27]清香,"Map004.json,events,9,pages,1,list,3,parameters,0"
「我看过这本书！」,"Map004.json,events,9,pages,1,list,4,parameters,0"
小时候读过的一本书。,"Map004.json,events,9,pages,1,list,6,parameters,0"
