植物,"Map122.json,events,1,name"
只有使用其他方法，或者攻击某个弱点,"Map122.json,events,7,pages,2,list,63,parameters,0"
才能造成致命的伤害……也说不定。,"Map122.json,events,7,pages,2,list,64,parameters,0"
可以感觉到这个植物周围覆盖着特殊的魔力。,"Map122.json,events,7,pages,2,list,69,parameters,0"
可以说，它更像是一个魔法生物，而不是植物。,"Map122.json,events,7,pages,2,list,70,parameters,0"
正因为是这样的魔法生物，所以复活也可以理解。,"Map122.json,events,7,pages,2,list,72,parameters,0"
也许……火魔法虽然有效，但无法杀死它,"Map122.json,events,7,pages,2,list,73,parameters,0"
只有使用其他方法，或者攻击某个弱点,"Map122.json,events,7,pages,2,list,74,parameters,0"
才能造成致命的伤害……也说不定。,"Map122.json,events,7,pages,2,list,75,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,86,parameters,0"
「如果事先使用这个！」,"Map122.json,events,7,pages,2,list,87,parameters,0"
即使如此还不行的话，就攻击那个被认为是弱点的部分。,"Map122.json,events,7,pages,2,list,89,parameters,0"
根部或者类似的地方！,"Map122.json,events,7,pages,2,list,90,parameters,0"
攻击那个被认为是弱点的部分……！,"Map122.json,events,7,pages,2,list,94,parameters,0"
根部或者类似的地方！,"Map122.json,events,7,pages,2,list,95,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,99,parameters,0"
“走吧！”,"Map122.json,events,7,pages,2,list,100,parameters,0"
意识已经失去。,"Map122.json,events,7,pages,2,list,115,parameters,0"
然而，身体偶尔会痉挛一下。,"Map122.json,events,7,pages,2,list,116,parameters,0"
俯卧着，像是把屁股伸出来一样的姿势。,"Map122.json,events,7,pages,2,list,117,parameters,0"
耳朵和尾巴的毛都竖立起来,"Map122.json,events,7,pages,2,list,119,parameters,0"
每当身体颤抖时，同样会痉挛一下。,"Map122.json,events,7,pages,2,list,120,parameters,0"
数十分钟……不，已经过了几个小时了吧。,"Map122.json,events,7,pages,2,list,126,parameters,0"
她终于恢复了意识。,"Map122.json,events,7,pages,2,list,127,parameters,0"
但是……还没有力气，腰也软了。,"Map122.json,events,7,pages,2,list,128,parameters,0"
即使如此，还是要站起来。,"Map122.json,events,7,pages,2,list,129,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,132,parameters,0"
「啊呜……。\.\.嗯嘻♡」,"Map122.json,events,7,pages,2,list,133,parameters,0"
身体一动，尾巴摇晃起来。,"Map122.json,events,7,pages,2,list,135,parameters,0"
那摇晃的尾巴只是划过空气,"Map122.json,events,7,pages,2,list,136,parameters,0"
那种快感从尾骨传遍全身,"Map122.json,events,7,pages,2,list,137,parameters,0"
再次，颤颤地。她倒在地上。,"Map122.json,events,7,pages,2,list,138,parameters,0"
全身都变成了快感机器。,"Map122.json,events,7,pages,2,list,140,parameters,0"
下腹部痉挛着，渴望着什么。,"Map122.json,events,7,pages,2,list,141,parameters,0"
这真的会停下来吗？,"Map122.json,events,7,pages,2,list,142,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,144,parameters,0"
「醒来……\.\.\.嗯呵♡\!,"Map122.json,events,7,pages,2,list,145,parameters,0"
不行……♪\.\.\.但是♡\.\.因为，那、那样说不定――。,"Map122.json,events,7,pages,2,list,146,parameters,0"
作为冒险家的毅力，作为男人的自尊心。,"Map122.json,events,7,pages,2,list,150,parameters,0"
\!稍微表现出一点坚持，但也没用。,"Map122.json,events,7,pages,2,list,151,parameters,0"
身体只要与地面摩擦，头就会爆炸般的快感。,"Map122.json,events,7,pages,2,list,152,parameters,0"
就在那时。,"Map122.json,events,7,pages,2,list,156,parameters,0"
一个瓶子击中了她的背部,"Map122.json,events,7,pages,2,list,157,parameters,0"
咚嗒一声，掉在她身旁。,"Map122.json,events,7,pages,2,list,158,parameters,0"
瓶子直接击中背部。,"Map122.json,events,7,pages,2,list,160,parameters,0"
本来应该出口的话是「痛ッ！？」吧。,"Map122.json,events,7,pages,2,list,161,parameters,0"
但从喉咙里发出的却是快感的话语。,"Map122.json,events,7,pages,2,list,162,parameters,0"
现在任何疼痛都可能转化为快感。,"Map122.json,events,7,pages,2,list,163,parameters,0"
瓶子因冲击而破裂，液体稍微漏出一些。,"Map122.json,events,7,pages,2,list,165,parameters,0"
看着那个……标签的标题进入眼帘。,"Map122.json,events,7,pages,2,list,166,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,168,parameters,0"
「耳……马、马上……嗯呵♡,"Map122.json,events,7,pages,2,list,169,parameters,0"
马上，电……。开始……\!！！！」,"Map122.json,events,7,pages,2,list,170,parameters,0"
『精灵传授的抑制发情药』\!,"Map122.json,events,7,pages,2,list,172,parameters,0"
恰好出现在她身边的那个，对她来说是最好的药。,"Map122.json,events,7,pages,2,list,173,parameters,0"
努力侧身，伸手去拿那个――。,"Map122.json,events,7,pages,2,list,178,parameters,0"
尽量忍住尾巴只要摩擦地面就会头炸的感觉,"Map122.json,events,7,pages,2,list,179,parameters,0"
拼命地亲吻破裂的部分。,"Map122.json,events,7,pages,2,list,180,parameters,0"
稍有不慎可能会吞下玻璃,"Map122.json,events,7,pages,2,list,182,parameters,0"
危险的行为。,"Map122.json,events,7,pages,2,list,183,parameters,0"
\!但是，如果不喝这个……她就没有未来了。,"Map122.json,events,7,pages,2,list,184,parameters,0"
喝。拼命地吸。,"Map122.json,events,7,pages,2,list,187,parameters,0"
只有一点点液体流出，但还是拼命地。,"Map122.json,events,7,pages,2,list,188,parameters,0"
药的效果非常惊人。,"Map122.json,events,7,pages,2,list,198,parameters,0"
\!虽然疲惫不堪的体力无法恢复。,"Map122.json,events,7,pages,2,list,199,parameters,0"
但是，仅仅动一下身体就带来快感的身体,"Map122.json,events,7,pages,2,list,200,parameters,0"
在短短几十秒内，几乎恢复如初。,"Map122.json,events,7,pages,2,list,201,parameters,0"
无法站起来，气喘吁吁。,"Map122.json,events,7,pages,2,list,203,parameters,0"
汗水止不住地流下来。下腹部还在痉挛。,"Map122.json,events,7,pages,2,list,204,parameters,0"
但是，能保持意识并调整呼吸。,"Map122.json,events,7,pages,2,list,205,parameters,0"
对她来说，这已经是幸福了。,"Map122.json,events,7,pages,2,list,206,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,208,parameters,0"
「太好了……,"Map122.json,events,7,pages,2,list,209,parameters,0"
这样躺着一会儿的话……」,"Map122.json,events,7,pages,2,list,210,parameters,0"
不雅地倒在地上，仰望天花板。,"Map122.json,events,7,pages,2,list,213,parameters,0"
冰冷而坚硬的地面感觉,"Map122.json,events,7,pages,2,list,214,parameters,0"
毛茸茸的尾巴稍微安慰了一下。,"Map122.json,events,7,pages,2,list,215,parameters,0"
多亏了它……现在可以再睡一会儿了。,"Map122.json,events,7,pages,2,list,216,parameters,0"
她这样失去了意识。,"Map122.json,events,7,pages,2,list,224,parameters,0"
\.\.这次不是昏厥。,"Map122.json,events,7,pages,2,list,225,parameters,0"
以生物应该采取的恢复体力的方法,"Map122.json,events,7,pages,2,list,226,parameters,0"
舒适的睡眠。,"Map122.json,events,7,pages,2,list,227,parameters,0"
大妖狐,"Map122.json,events,7,pages,2,list,230,parameters,0"
「好了好了，做得很好。,"Map122.json,events,7,pages,2,list,231,parameters,0"
看着你真是太好了♪,"Map122.json,events,7,pages,2,list,232,parameters,0"
要是不小心就可能有生命危险呢……」,"Map122.json,events,7,pages,2,list,233,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,243,parameters,0"
「呜……咔……好疼……,"Map122.json,events,7,pages,2,list,244,parameters,0"
身体好僵硬……」,"Map122.json,events,7,pages,2,list,245,parameters,0"
舒适的睡眠，虽然只是地面。,"Map122.json,events,7,pages,2,list,247,parameters,0"
完全消除疲劳需要艰苦的床铺。,"Map122.json,events,7,pages,2,list,248,parameters,0"
但是，那已经完全消失了,"Map122.json,events,7,pages,2,list,249,parameters,0"
这让她的心感到安心。,"Map122.json,events,7,pages,2,list,250,parameters,0"
那个天敌的身影不见了。,"Map122.json,events,7,pages,2,list,254,parameters,0"
不知何时消失的……？,"Map122.json,events,7,pages,2,list,255,parameters,0"
如果它还在的话，也许本能地会避开它的身影。,"Map122.json,events,7,pages,2,list,256,parameters,0"
不，也许……\C[18]本能地会去对抗它？,"Map122.json,events,7,pages,2,list,257,parameters,0"
\C[18]是的，为了追求那种快感。,"Map122.json,events,7,pages,2,list,259,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,262,parameters,0"
「……并不是在隐藏身影。,"Map122.json,events,7,pages,2,list,263,parameters,0"
终于可以知道那本书的内容了」,"Map122.json,events,7,pages,2,list,264,parameters,0"
刚才的想法暂时放在一边。,"Map122.json,events,7,pages,2,list,266,parameters,0"
现在应该有事要做。,"Map122.json,events,7,pages,2,list,267,parameters,0"
看看那本书的内容，了解分身大妖狐的弱点。,"Map122.json,events,7,pages,2,list,268,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,270,parameters,0"
「好，走吧」,"Map122.json,events,7,pages,2,list,271,parameters,0"
只要喷洒上那个除草剂，植物就会立刻枯萎。,"Map122.json,events,7,pages,2,list,281,parameters,0"
枯萎……或者说消失了。,"Map122.json,events,7,pages,2,list,282,parameters,0"
就像除草剂是消失的触发器一样。,"Map122.json,events,7,pages,2,list,283,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,285,parameters,0"
「呼……总算打倒了」,"Map122.json,events,7,pages,2,list,286,parameters,0"
不仅一次，还被搞得一团糟……。,"Map122.json,events,7,pages,2,list,289,parameters,0"
但是，能打倒它还是很高兴的。,"Map122.json,events,7,pages,2,list,290,parameters,0"
皮肤感觉再也不会改变了。,"Map122.json,events,7,pages,2,list,291,parameters,0"
只被搞得一团糟……。,"Map122.json,events,7,pages,2,list,295,parameters,0"
但是，能打倒它还是很高兴的。,"Map122.json,events,7,pages,2,list,296,parameters,0"
皮肤感觉再也不会改变了。,"Map122.json,events,7,pages,2,list,297,parameters,0"
皮肤感觉与穿上时相比，确实有所改变,"Map122.json,events,7,pages,2,list,301,parameters,0"
但并不是什么大问题。,"Map122.json,events,7,pages,2,list,302,parameters,0"
现在立刻看那本书，调查弱点。,"Map122.json,events,7,pages,2,list,303,parameters,0"
保持原样,"Map122.json,events,7,pages,2,list,309,parameters,1"
打开了钥匙！,"Map122.json,events,8,pages,0,list,2,parameters,0"
\C[27]清彦,"Map122.json,events,12,pages,0,list,2,parameters,0"
「写着『请检查与右边房间相同的地方♪』。,"Map122.json,events,12,pages,0,list,3,parameters,0"
地方……呢」,"Map122.json,events,12,pages,0,list,4,parameters,0"
\C[27]清彦,"Map122.json,events,13,pages,0,list,1,parameters,0"
「这就是那本书吗」,"Map122.json,events,13,pages,0,list,2,parameters,0"
妖狐的弱点有很多！,"Map122.json,events,13,pages,0,list,7,parameters,0"
狐耳、尾巴。,"Map122.json,events,13,pages,0,list,8,parameters,0"
插进去或摸摸它们，就完蛋了。,"Map122.json,events,13,pages,0,list,9,parameters,0"
但是……我可能没有那么强烈的感觉。,"Map122.json,events,13,pages,0,list,10,parameters,0"
耳朵嘛……可能会有感觉，但能忍受吗。,"Map122.json,events,13,pages,0,list,12,parameters,0"
尾巴有九根，快感会分散吧。,"Map122.json,events,13,pages,0,list,13,parameters,0"
但是……即使如此，有一个相对脆弱的地方。,"Map122.json,events,13,pages,0,list,14,parameters,0"
那就是\C[18]尾骨也就是根部\C[0]！,"Map122.json,events,13,pages,0,list,18,parameters,0"
摸摸也不行。要轻轻拍打。,"Map122.json,events,13,pages,0,list,19,parameters,0"
轻轻拍打，立刻就会颤颤地！无法忍受。,"Map122.json,events,13,pages,0,list,20,parameters,0"
当然，你也可能无法忍受？？？？？？,"Map122.json,events,13,pages,0,list,21,parameters,0"
分身的尾巴根部被我削弱了。,"Map122.json,events,13,pages,0,list,23,parameters,0"
刚才也说过了，要轻轻拍打。,"Map122.json,events,13,pages,0,list,24,parameters,0"
在身体接触激烈的时候使用，可能会有好效果哦？,"Map122.json,events,13,pages,0,list,25,parameters,0"
最后！泳池房间深处的除草剂,"Map122.json,events,13,pages,0,list,27,parameters,0"
如果你正在阅读这个，就不需要再去拿了！,"Map122.json,events,13,pages,0,list,28,parameters,0"
不要特意去游泳哦？那么加油♪,"Map122.json,events,13,pages,0,list,29,parameters,0"
\C[27]清彦,"Map122.json,events,13,pages,0,list,32,parameters,0"
「尾骨……根部吗」,"Map122.json,events,13,pages,0,list,33,parameters,0"
尾巴只能稍微动一下。,"Map122.json,events,13,pages,0,list,36,parameters,0"
这样的尾巴，如果触摸根部会有感觉吗？,"Map122.json,events,13,pages,0,list,37,parameters,0"
噗噗。尾巴可以稍微动了。,"Map122.json,events,13,pages,0,list,42,parameters,0"
虽然感觉变得不那么明显了,"Map122.json,events,13,pages,0,list,43,parameters,0"
但是如果拍打根部会有感觉吗……？,"Map122.json,events,13,pages,0,list,44,parameters,0"
虽然没兴趣，但说没有也是谎言……。,"Map122.json,events,13,pages,0,list,45,parameters,0"
当尾巴被植物紧紧地抓住时，力气就无法发挥了。,"Map122.json,events,13,pages,0,list,50,parameters,0"
而且还被甜蜜的麻痹感弄得头晕目眩。,"Map122.json,events,13,pages,0,list,51,parameters,0"
\!如果被触摸到根部会怎样呢？,"Map122.json,events,13,pages,0,list,52,parameters,0"
比被紧紧地抓住尾巴还要更……？,"Map122.json,events,13,pages,0,list,53,parameters,0"
与之前被植物搞得一团糟相比，快感……。,"Map122.json,events,13,pages,0,list,58,parameters,0"
不，根部＞全身，这是不可能的。绝对不可能。,"Map122.json,events,13,pages,0,list,59,parameters,0"
至少可以这么说。,"Map122.json,events,13,pages,0,list,60,parameters,0"
啪嗒。合上书本。,"Map122.json,events,13,pages,0,list,66,parameters,0"
既然找到了弱点，接下来只需去房间中央。,"Map122.json,events,13,pages,0,list,67,parameters,0"
为了拍打尾巴的根部而战。,"Map122.json,events,13,pages,0,list,68,parameters,0"
虽然不知道这到底是什么……。,"Map122.json,events,13,pages,0,list,69,parameters,0"
要再读一次书吗？,"Map122.json,events,13,pages,1,list,1,parameters,0"
是,"Map122.json,events,13,pages,1,list,2,parameters,0,0"
否,"Map122.json,events,13,pages,1,list,2,parameters,0,1"
是,"Map122.json,events,13,pages,1,list,3,parameters,1"
妖狐的弱点有很多！,"Map122.json,events,13,pages,1,list,7,parameters,0"
狐耳、尾巴。,"Map122.json,events,13,pages,1,list,8,parameters,0"
插进去或摸摸它们，就完蛋了。,"Map122.json,events,13,pages,1,list,9,parameters,0"
但是……我可能没有那么强烈的感觉。,"Map122.json,events,13,pages,1,list,10,parameters,0"
耳朵嘛……可能会有感觉，但能忍受吗。,"Map122.json,events,13,pages,1,list,12,parameters,0"
尾巴有九根，快感会分散吧。,"Map122.json,events,13,pages,1,list,13,parameters,0"
但是……即使如此，有一个相对脆弱的地方。,"Map122.json,events,13,pages,1,list,14,parameters,0"
那就是\C[18]尾骨也就是根部\C[0]！,"Map122.json,events,13,pages,1,list,16,parameters,0"
摸摸也不行。要轻轻拍打。,"Map122.json,events,13,pages,1,list,17,parameters,0"
轻轻拍打，立刻就会颤颤地！无法忍受。,"Map122.json,events,13,pages,1,list,18,parameters,0"
当然，你也可能无法忍受？？？？？？,"Map122.json,events,13,pages,1,list,19,parameters,0"
分身的尾巴根部已经变得非常脆弱了。,"Map122.json,events,13,pages,1,list,21,parameters,0"
刚才也说过了，请拍打一下吧。,"Map122.json,events,13,pages,1,list,22,parameters,0"
最后！泳池房间深处的除草剂,"Map122.json,events,13,pages,1,list,24,parameters,0"
如果你正在阅读这个，就不需要再去拿了！,"Map122.json,events,13,pages,1,list,25,parameters,0"
不要特意去游泳哦？那么加油♪,"Map122.json,events,13,pages,1,list,26,parameters,0"
否,"Map122.json,events,13,pages,1,list,32,parameters,1"
可以得到除草剂。,"Map122.json,events,14,pages,0,list,1,parameters,0"
接受,"Map122.json,events,14,pages,0,list,2,parameters,0,0"
不需要,"Map122.json,events,14,pages,0,list,2,parameters,0,1"
接受,"Map122.json,events,14,pages,0,list,3,parameters,1"
不需要,"Map122.json,events,14,pages,0,list,6,parameters,1"
