敌方阿尔劳内A,"Map059.json,events,4,name"
但是……阿尔劳内们无视了她的反应,"Map059.json,events,10,pages,8,list,14,parameters,0"
只是关心她的身体状况。,"Map059.json,events,10,pages,8,list,15,parameters,0"
通常情况下，不会对人类说『口渴了吗？』。\!,"Map059.json,events,10,pages,8,list,17,parameters,0"
这样说话是因为，对于阿露娜们来说,"Map059.json,events,10,pages,8,list,18,parameters,0"
现在的她们是同族，是伙伴――。,"Map059.json,events,10,pages,8,list,19,parameters,0"
阿尔劳内,"Map059.json,events,10,pages,8,list,21,parameters,0"
「现在的话，去北边的建筑那边,"Map059.json,events,10,pages,8,list,22,parameters,0"
可以好好享受阳光和水哦～♪」,"Map059.json,events,10,pages,8,list,23,parameters,0"
太阳。日光。\!,"Map059.json,events,10,pages,8,list,25,parameters,0"
这个词在脑海中重复。,"Map059.json,events,10,pages,8,list,26,parameters,0"
太阳会分泌出花蜜，流动到全身成为营养,"Map059.json,events,10,pages,8,list,28,parameters,0"
水分则通过花蜜高效地活化。,"Map059.json,events,10,pages,8,list,29,parameters,0"
这是阿露娜所需要的营养。,"Map059.json,events,10,pages,8,list,30,parameters,0"
\C[27]清彦,"Map059.json,events,10,pages,8,list,33,parameters,0"
「（水……太阳）」,"Map059.json,events,10,pages,8,list,34,parameters,0"
感觉真好。,"Map059.json,events,10,pages,8,list,36,parameters,0"
就像人类泡温泉时,"Map059.json,events,10,pages,8,list,37,parameters,0"
吃喝一体的酒和小吃一样。,"Map059.json,events,10,pages,8,list,38,parameters,0"
\!一个可以享受两种乐趣。,"Map059.json,events,10,pages,8,list,39,parameters,0"
想象着同时享用这两样东西,"Map059.json,events,10,pages,8,list,42,parameters,0"
她的身体扭动着，愉悦的样子。,"Map059.json,events,10,pages,8,list,43,parameters,0"
\!\C[18]从出生开始就像阿尔劳内一样。,"Map059.json,events,10,pages,8,list,44,parameters,0"
阿尔劳内,"Map059.json,events,10,pages,8,list,46,parameters,0"
「脸色变好了吗？,"Map059.json,events,10,pages,8,list,47,parameters,0"
那我就先告辞了～」,"Map059.json,events,10,pages,8,list,48,parameters,0"
\C[27]清彦,"Map059.json,events,10,pages,8,list,51,parameters,0"
「哈！」,"Map059.json,events,10,pages,8,list,52,parameters,0"
现在，她在做什么呢。,"Map059.json,events,10,pages,8,list,54,parameters,0"
感受到阳光和水分，知道了,"Map059.json,events,10,pages,8,list,55,parameters,0"
这是多么舒服的事情。,"Map059.json,events,10,pages,8,list,56,parameters,0"
\C[27]清彦,"Map059.json,events,10,pages,8,list,59,parameters,0"
「（明明不应该在做这种事！）」,"Map059.json,events,10,pages,8,list,60,parameters,0"
现在必须赶快回到城里……！,"Map059.json,events,10,pages,8,list,62,parameters,0"
她发誓着。,"Map059.json,events,10,pages,8,list,63,parameters,0"
阿尔劳内,"Map059.json,events,10,pages,9,list,1,parameters,0"
「风好舒服呢」,"Map059.json,events,10,pages,9,list,2,parameters,0"
\C[27]阿尔劳内,"Map059.json,events,10,pages,9,list,4,parameters,0"
「嗯♪,"Map059.json,events,10,pages,9,list,5,parameters,0"
被风吹着就觉得很幸福～♡」,"Map059.json,events,10,pages,9,list,6,parameters,0"
敌阿鲁拉乌内C,"Map059.json,events,11,name"
阿露娜,"Map059.json,events,11,pages,4,list,2,parameters,0"
清彦,"Map059.json,events,11,pages,4,list,5,parameters,0"
「咕……！」,"Map059.json,events,11,pages,4,list,6,parameters,0"
瞬间抽出腰间的剑，做好战斗准备。,"Map059.json,events,11,pages,4,list,8,parameters,0"
不能在这种地方耽误时间……！,"Map059.json,events,11,pages,4,list,9,parameters,0"
然而，她没有敌意。\!,"Map059.json,events,11,pages,4,list,12,parameters,0"
明明我们已经明确拔出剑了,"Map059.json,events,11,pages,4,list,13,parameters,0"
她却像什么事都没有发生一样，悠闲自在。,"Map059.json,events,11,pages,4,list,14,parameters,0"
她的眼神，就像我们在这片森林相遇时那样温柔。,"Map059.json,events,11,pages,4,list,15,parameters,0"
阿露娜,"Map059.json,events,11,pages,4,list,17,parameters,0"
「嘿嘿，你怎么了～？你也要唱歌吗？」,"Map059.json,events,11,pages,4,list,18,parameters,0"
清彦,"Map059.json,events,11,pages,4,list,21,parameters,0"
「诶……？」,"Map059.json,events,11,pages,4,list,22,parameters,0"
这家伙在说什么呢。,"Map059.json,events,11,pages,4,list,24,parameters,0"
刚才还攻击我们，还对我们做了什么。,"Map059.json,events,11,pages,4,list,25,parameters,0"
然而……她的反应却像什么都没有发生一样。,"Map059.json,events,11,pages,4,list,26,parameters,0"
这让他也感到惊讶。,"Map059.json,events,11,pages,4,list,27,parameters,0"
清彦,"Map059.json,events,11,pages,4,list,30,parameters,0"
「不，下次再说吧」,"Map059.json,events,11,pages,4,list,31,parameters,0"
阿露娜,"Map059.json,events,11,pages,4,list,33,parameters,0"
「是吗～？再见啦」,"Map059.json,events,11,pages,4,list,34,parameters,0"
就这样吧。\!,"Map059.json,events,11,pages,4,list,36,parameters,0"
如果不妨碍我们，就快点去教会吧。,"Map059.json,events,11,pages,4,list,37,parameters,0"
他在那时没有注意到。,"Map059.json,events,11,pages,4,list,40,parameters,0"
阿露娜不再称呼他为『人类』,"Map059.json,events,11,pages,4,list,41,parameters,0"
而是称呼他为『你』……。,"Map059.json,events,11,pages,4,list,42,parameters,0"
为什么开始称呼他为『你』呢……。,"Map059.json,events,11,pages,4,list,43,parameters,0"
阿露娜,"Map059.json,events,11,pages,5,list,2,parameters,0"
「怎么了～？脸色不好哦～？」,"Map059.json,events,11,pages,5,list,3,parameters,0"
敌人！\!,"Map059.json,events,11,pages,5,list,6,parameters,0"
她想要抽出剑……不，没有任何东西可以抽出。,"Map059.json,events,11,pages,5,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,5,list,9,parameters,0"
「（糟糕！现在我没有武器。,"Map059.json,events,11,pages,5,list,10,parameters,0"
如果说有的话……）」,"Map059.json,events,11,pages,5,list,11,parameters,0"
刺。\!,"Map059.json,events,11,pages,5,list,13,parameters,0"
缠绕在下半身的东西。,"Map059.json,events,11,pages,5,list,14,parameters,0"
仔细一看……敌人的阿露娜身上也有同样的东西。,"Map059.json,events,11,pages,5,list,15,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,5,list,17,parameters,0"
「（……难、难道）」,"Map059.json,events,11,pages,5,list,18,parameters,0"
她注意到了。\!,"Map059.json,events,11,pages,5,list,20,parameters,0"
从阿露娜的球茎上长出的刺。,"Map059.json,events,11,pages,5,list,21,parameters,0"
那个，缠绕在她的下半身上的东西,"Map059.json,events,11,pages,5,list,22,parameters,0"
和那个是一样的……。,"Map059.json,events,11,pages,5,list,23,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,5,list,25,parameters,0"
「（也、也就是说……）」,"Map059.json,events,11,pages,5,list,26,parameters,0"
身体颜色变化。\!性别变化。\!,"Map059.json,events,11,pages,5,list,28,parameters,0"
头部的东西像花瓣，叶子一样。\!,"Map059.json,events,11,pages,5,list,29,parameters,0"
刺和阿露娜完全一样。\!,"Map059.json,events,11,pages,5,list,30,parameters,0"
和阿露娜相似……不对――。,"Map059.json,events,11,pages,5,list,31,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,5,list,33,parameters,0"
「怎、怎么……」,"Map059.json,events,11,pages,5,list,34,parameters,0"
他开始颤抖，对即将发生的命运感到恐惧。,"Map059.json,events,11,pages,5,list,36,parameters,0"
\C[18]敌人\C[0]的阿露娜不知何时,"Map059.json,events,11,pages,5,list,37,parameters,0"
以友好的方式接近他，这已经无关紧要了。,"Map059.json,events,11,pages,5,list,38,parameters,0"
阿露娜,"Map059.json,events,11,pages,5,list,40,parameters,0"
「真的没事吗～？」,"Map059.json,events,11,pages,5,list,41,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,5,list,43,parameters,0"
「别、别管我！」,"Map059.json,events,11,pages,5,list,44,parameters,0"
他的脑袋变得一片空白，无法思考,"Map059.json,events,11,pages,5,list,46,parameters,0"
只能情绪化地回答阿露娜的问题,"Map059.json,events,11,pages,5,list,47,parameters,0"
表达担心。,"Map059.json,events,11,pages,5,list,48,parameters,0"
阿露娜,"Map059.json,events,11,pages,6,list,2,parameters,0"
「怎么了～？脸色不好哦～？」,"Map059.json,events,11,pages,6,list,3,parameters,0"
变得糟糕了。\!,"Map059.json,events,11,pages,6,list,6,parameters,0"
突然变成这样的身体，还失去了武器。,"Map059.json,events,11,pages,6,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,6,list,9,parameters,0"
「（……难、难道）」,"Map059.json,events,11,pages,6,list,10,parameters,0"
她注意到了。\!,"Map059.json,events,11,pages,6,list,12,parameters,0"
从阿露娜的球茎上长出的刺。,"Map059.json,events,11,pages,6,list,13,parameters,0"
这个，缠绕在她的下半身上的东西,"Map059.json,events,11,pages,6,list,14,parameters,0"
和那个是一样的……。,"Map059.json,events,11,pages,6,list,15,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,6,list,17,parameters,0"
「（也、也就是说……）」,"Map059.json,events,11,pages,6,list,18,parameters,0"
身体颜色变化。\!性别变化。\!,"Map059.json,events,11,pages,6,list,20,parameters,0"
头部的东西像花瓣，叶子一样。\!,"Map059.json,events,11,pages,6,list,21,parameters,0"
刺和阿露娜完全一样。\!,"Map059.json,events,11,pages,6,list,22,parameters,0"
和阿露娜相似……不对――。,"Map059.json,events,11,pages,6,list,23,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,6,list,25,parameters,0"
「怎、怎么……」,"Map059.json,events,11,pages,6,list,26,parameters,0"
他开始颤抖，对即将发生的命运感到恐惧。,"Map059.json,events,11,pages,6,list,28,parameters,0"
阿露娜,"Map059.json,events,11,pages,6,list,30,parameters,0"
「真的没事吗～？」,"Map059.json,events,11,pages,6,list,31,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,6,list,33,parameters,0"
「别、别管我！」,"Map059.json,events,11,pages,6,list,34,parameters,0"
他的脑袋变得一片空白，无法思考,"Map059.json,events,11,pages,6,list,36,parameters,0"
只能情绪化地回答阿露娜的问题,"Map059.json,events,11,pages,6,list,37,parameters,0"
表达担心。,"Map059.json,events,11,pages,6,list,38,parameters,0"
阿露娜,"Map059.json,events,11,pages,7,list,2,parameters,0"
「怎么了～？你口渴了吗？」,"Map059.json,events,11,pages,7,list,3,parameters,0"
敌人！\!,"Map059.json,events,11,pages,7,list,6,parameters,0"
慌忙地想要抽出剑……不，没有任何东西可以抽出。,"Map059.json,events,11,pages,7,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,7,list,9,parameters,0"
「啊……呜呜……！」,"Map059.json,events,11,pages,7,list,10,parameters,0"
刚才还\C[18]他\C[0]一见面就袭击他的阿露娜们,"Map059.json,events,11,pages,7,list,12,parameters,0"
现在却用像看待同伴一样的眼神看着他。,"Map059.json,events,11,pages,7,list,13,parameters,0"
通常情况下，不会对人类说『口渴了吗？』。\!,"Map059.json,events,11,pages,7,list,15,parameters,0"
这样说话是因为，对于阿露娜们来说,"Map059.json,events,11,pages,7,list,16,parameters,0"
现在的她们是同族，是伙伴――。,"Map059.json,events,11,pages,7,list,17,parameters,0"
阿露娜,"Map059.json,events,11,pages,7,list,19,parameters,0"
「需要阳光吗？,"Map059.json,events,11,pages,7,list,20,parameters,0"
如果从现在开始，去北边的建筑那边,"Map059.json,events,11,pages,7,list,21,parameters,0"
可以愉快地享受阳光和水哦～♪」,"Map059.json,events,11,pages,7,list,22,parameters,0"
太阳。日光。\!,"Map059.json,events,11,pages,7,list,24,parameters,0"
这个词在脑海中重复。,"Map059.json,events,11,pages,7,list,25,parameters,0"
太阳会分泌出花蜜，流动到全身成为营养,"Map059.json,events,11,pages,7,list,27,parameters,0"
水分则通过花蜜高效地活化。,"Map059.json,events,11,pages,7,list,28,parameters,0"
这是阿露娜所需要的营养。,"Map059.json,events,11,pages,7,list,29,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,7,list,32,parameters,0"
「（水……太阳）」,"Map059.json,events,11,pages,7,list,33,parameters,0"
感觉真好。,"Map059.json,events,11,pages,7,list,35,parameters,0"
就像人类泡温泉时,"Map059.json,events,11,pages,7,list,36,parameters,0"
吃喝一体的酒和小吃一样。,"Map059.json,events,11,pages,7,list,37,parameters,0"
\!一个可以享受两种乐趣。,"Map059.json,events,11,pages,7,list,38,parameters,0"
想象着同时享用这两样东西,"Map059.json,events,11,pages,7,list,41,parameters,0"
她的身体扭动着，愉悦的样子。,"Map059.json,events,11,pages,7,list,42,parameters,0"
\!\C[18]从出生开始就像阿尔劳内一样。,"Map059.json,events,11,pages,7,list,43,parameters,0"
阿尔劳内,"Map059.json,events,11,pages,7,list,45,parameters,0"
「脸色变好了吗？,"Map059.json,events,11,pages,7,list,46,parameters,0"
那我就先告辞了～」,"Map059.json,events,11,pages,7,list,47,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,7,list,50,parameters,0"
「哈！」,"Map059.json,events,11,pages,7,list,51,parameters,0"
现在，她在做什么呢。,"Map059.json,events,11,pages,7,list,53,parameters,0"
感受到阳光和水分，知道了,"Map059.json,events,11,pages,7,list,54,parameters,0"
这是多么舒服的事情。,"Map059.json,events,11,pages,7,list,55,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,7,list,58,parameters,0"
「（明明不应该在做这种事！）」,"Map059.json,events,11,pages,7,list,59,parameters,0"
现在必须赶快回到城里……！,"Map059.json,events,11,pages,7,list,61,parameters,0"
她发誓着。,"Map059.json,events,11,pages,7,list,62,parameters,0"
阿露娜,"Map059.json,events,11,pages,8,list,2,parameters,0"
「怎么了～？你口渴了吗？」,"Map059.json,events,11,pages,8,list,3,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,8,list,6,parameters,0"
「唔、好吵……！」,"Map059.json,events,11,pages,8,list,7,parameters,0"
阿尔劳内,"Map059.json,events,11,pages,8,list,9,parameters,0"
「……？虽然不太明白,"Map059.json,events,11,pages,8,list,10,parameters,0"
但是多晒太阳、多喝水就好啦！」,"Map059.json,events,11,pages,8,list,11,parameters,0"
她反击了。,"Map059.json,events,11,pages,8,list,13,parameters,0"
但是……阿尔劳内们无视了她的反应,"Map059.json,events,11,pages,8,list,14,parameters,0"
只是关心她的身体状况。,"Map059.json,events,11,pages,8,list,15,parameters,0"
通常情况下，不会对人类说『口渴了吗？』。\!,"Map059.json,events,11,pages,8,list,17,parameters,0"
这样说话是因为，对于阿露娜们来说,"Map059.json,events,11,pages,8,list,18,parameters,0"
现在的她们是同族，是伙伴――。,"Map059.json,events,11,pages,8,list,19,parameters,0"
阿尔劳内,"Map059.json,events,11,pages,8,list,21,parameters,0"
「现在的话，去北边的建筑那边,"Map059.json,events,11,pages,8,list,22,parameters,0"
可以好好享受阳光和水哦～♪」,"Map059.json,events,11,pages,8,list,23,parameters,0"
太阳。日光。\!,"Map059.json,events,11,pages,8,list,25,parameters,0"
这个词在脑海中重复。,"Map059.json,events,11,pages,8,list,26,parameters,0"
太阳会分泌出花蜜，流动到全身成为营养,"Map059.json,events,11,pages,8,list,28,parameters,0"
水分则通过花蜜高效地活化。,"Map059.json,events,11,pages,8,list,29,parameters,0"
这是阿露娜所需要的营养。,"Map059.json,events,11,pages,8,list,30,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,8,list,33,parameters,0"
「（水……太阳）」,"Map059.json,events,11,pages,8,list,34,parameters,0"
感觉真好。,"Map059.json,events,11,pages,8,list,36,parameters,0"
就像人类泡温泉时,"Map059.json,events,11,pages,8,list,37,parameters,0"
吃喝一体的酒和小吃一样。,"Map059.json,events,11,pages,8,list,38,parameters,0"
\!一个可以享受两种乐趣。,"Map059.json,events,11,pages,8,list,39,parameters,0"
想象着同时享用这两样东西,"Map059.json,events,11,pages,8,list,42,parameters,0"
她的身体扭动着，愉悦的样子。,"Map059.json,events,11,pages,8,list,43,parameters,0"
\!\C[18]从出生开始就像阿尔劳内一样。,"Map059.json,events,11,pages,8,list,44,parameters,0"
阿尔劳内,"Map059.json,events,11,pages,8,list,46,parameters,0"
「脸色变好了吗？,"Map059.json,events,11,pages,8,list,47,parameters,0"
那我就先告辞了～」,"Map059.json,events,11,pages,8,list,48,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,8,list,51,parameters,0"
「哈！」,"Map059.json,events,11,pages,8,list,52,parameters,0"
现在，她在做什么呢。,"Map059.json,events,11,pages,8,list,54,parameters,0"
感受到阳光和水分，知道了,"Map059.json,events,11,pages,8,list,55,parameters,0"
这是多么舒服的事情。,"Map059.json,events,11,pages,8,list,56,parameters,0"
\C[27]清彦,"Map059.json,events,11,pages,8,list,59,parameters,0"
「（明明不应该在做这种事！）」,"Map059.json,events,11,pages,8,list,60,parameters,0"
现在必须赶快回到城里……！,"Map059.json,events,11,pages,8,list,62,parameters,0"
她发誓着。,"Map059.json,events,11,pages,8,list,63,parameters,0"
阿尔劳内,"Map059.json,events,11,pages,9,list,1,parameters,0"
「每天都很幸福呢～♪」,"Map059.json,events,11,pages,9,list,2,parameters,0"
\C[27]阿尔劳内,"Map059.json,events,11,pages,9,list,4,parameters,0"
「是呢～♪」,"Map059.json,events,11,pages,9,list,5,parameters,0"
敌阿鲁拉乌内D,"Map059.json,events,12,name"
阿露娜,"Map059.json,events,12,pages,4,list,2,parameters,0"
清彦,"Map059.json,events,12,pages,4,list,5,parameters,0"
「咕……！」,"Map059.json,events,12,pages,4,list,6,parameters,0"
瞬间抽出腰间的剑，做好战斗准备。,"Map059.json,events,12,pages,4,list,8,parameters,0"
不能在这种地方耽误时间……！,"Map059.json,events,12,pages,4,list,9,parameters,0"
然而，她没有敌意。\!,"Map059.json,events,12,pages,4,list,12,parameters,0"
明明我们已经明确拔出剑了,"Map059.json,events,12,pages,4,list,13,parameters,0"
她却像什么事都没有发生一样，悠闲自在。,"Map059.json,events,12,pages,4,list,14,parameters,0"
她的眼神，就像我们在这片森林相遇时那样温柔。,"Map059.json,events,12,pages,4,list,15,parameters,0"
阿露娜,"Map059.json,events,12,pages,4,list,17,parameters,0"
「嘿嘿，你怎么了～？你也要唱歌吗？」,"Map059.json,events,12,pages,4,list,18,parameters,0"
清彦,"Map059.json,events,12,pages,4,list,21,parameters,0"
「诶……？」,"Map059.json,events,12,pages,4,list,22,parameters,0"
这家伙在说什么呢。,"Map059.json,events,12,pages,4,list,24,parameters,0"
刚才还攻击我们，还对我们做了什么。,"Map059.json,events,12,pages,4,list,25,parameters,0"
然而……她的反应却像什么都没有发生一样。,"Map059.json,events,12,pages,4,list,26,parameters,0"
这让他也感到惊讶。,"Map059.json,events,12,pages,4,list,27,parameters,0"
清彦,"Map059.json,events,12,pages,4,list,30,parameters,0"
「不，下次再说吧」,"Map059.json,events,12,pages,4,list,31,parameters,0"
阿露娜,"Map059.json,events,12,pages,4,list,33,parameters,0"
「是吗～？再见啦」,"Map059.json,events,12,pages,4,list,34,parameters,0"
就这样吧。\!,"Map059.json,events,12,pages,4,list,36,parameters,0"
如果不妨碍我们，就快点去教会吧。,"Map059.json,events,12,pages,4,list,37,parameters,0"
他在那时没有注意到。,"Map059.json,events,12,pages,4,list,40,parameters,0"
阿露娜不再称呼他为『人类』,"Map059.json,events,12,pages,4,list,41,parameters,0"
而是称呼他为『你』……。,"Map059.json,events,12,pages,4,list,42,parameters,0"
为什么开始称呼他为『你』呢……。,"Map059.json,events,12,pages,4,list,43,parameters,0"
阿露娜,"Map059.json,events,12,pages,5,list,2,parameters,0"
「怎么了～？脸色不好哦～？」,"Map059.json,events,12,pages,5,list,3,parameters,0"
敌人！\!,"Map059.json,events,12,pages,5,list,6,parameters,0"
她想要抽出剑……不，没有任何东西可以抽出。,"Map059.json,events,12,pages,5,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,5,list,9,parameters,0"
「（糟糕！现在我没有武器。,"Map059.json,events,12,pages,5,list,10,parameters,0"
如果说有的话……）」,"Map059.json,events,12,pages,5,list,11,parameters,0"
刺。\!,"Map059.json,events,12,pages,5,list,13,parameters,0"
缠绕在下半身的东西。,"Map059.json,events,12,pages,5,list,14,parameters,0"
仔细一看……敌人的阿露娜身上也有同样的东西。,"Map059.json,events,12,pages,5,list,15,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,5,list,17,parameters,0"
「（……难、难道）」,"Map059.json,events,12,pages,5,list,18,parameters,0"
她注意到了。\!,"Map059.json,events,12,pages,5,list,20,parameters,0"
从阿露娜的球茎上长出的刺。,"Map059.json,events,12,pages,5,list,21,parameters,0"
那个，缠绕在她的下半身上的东西,"Map059.json,events,12,pages,5,list,22,parameters,0"
和那个是一样的……。,"Map059.json,events,12,pages,5,list,23,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,5,list,25,parameters,0"
「（也、也就是说……）」,"Map059.json,events,12,pages,5,list,26,parameters,0"
身体颜色变化。\!性别变化。\!,"Map059.json,events,12,pages,5,list,28,parameters,0"
头部的东西像花瓣，叶子一样。\!,"Map059.json,events,12,pages,5,list,29,parameters,0"
刺和阿露娜完全一样。\!,"Map059.json,events,12,pages,5,list,30,parameters,0"
和阿露娜相似……不对――。,"Map059.json,events,12,pages,5,list,31,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,5,list,33,parameters,0"
「怎、怎么……」,"Map059.json,events,12,pages,5,list,34,parameters,0"
他开始颤抖，对即将发生的命运感到恐惧。,"Map059.json,events,12,pages,5,list,36,parameters,0"
\C[18]敌人\C[0]的阿露娜不知何时,"Map059.json,events,12,pages,5,list,37,parameters,0"
以友好的方式接近他，这已经无关紧要了。,"Map059.json,events,12,pages,5,list,38,parameters,0"
阿露娜,"Map059.json,events,12,pages,5,list,40,parameters,0"
「真的没事吗～？」,"Map059.json,events,12,pages,5,list,41,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,5,list,43,parameters,0"
「别、别管我！」,"Map059.json,events,12,pages,5,list,44,parameters,0"
他的脑袋变得一片空白，无法思考,"Map059.json,events,12,pages,5,list,46,parameters,0"
只能情绪化地回答阿露娜的问题,"Map059.json,events,12,pages,5,list,47,parameters,0"
表达担心。,"Map059.json,events,12,pages,5,list,48,parameters,0"
阿露娜,"Map059.json,events,12,pages,6,list,2,parameters,0"
「怎么了～？脸色不好哦～？」,"Map059.json,events,12,pages,6,list,3,parameters,0"
变得糟糕了。\!,"Map059.json,events,12,pages,6,list,6,parameters,0"
突然变成这样的身体，还失去了武器。,"Map059.json,events,12,pages,6,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,6,list,9,parameters,0"
「（……难、难道）」,"Map059.json,events,12,pages,6,list,10,parameters,0"
她注意到了。\!,"Map059.json,events,12,pages,6,list,12,parameters,0"
从阿露娜的球茎上长出的刺。,"Map059.json,events,12,pages,6,list,13,parameters,0"
这个，缠绕在她的下半身上的东西,"Map059.json,events,12,pages,6,list,14,parameters,0"
和那个是一样的……。,"Map059.json,events,12,pages,6,list,15,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,6,list,17,parameters,0"
「（也、也就是说……）」,"Map059.json,events,12,pages,6,list,18,parameters,0"
身体颜色变化。\!性别变化。\!,"Map059.json,events,12,pages,6,list,20,parameters,0"
头部的东西像花瓣，叶子一样。\!,"Map059.json,events,12,pages,6,list,21,parameters,0"
刺和阿露娜完全一样。\!,"Map059.json,events,12,pages,6,list,22,parameters,0"
和阿露娜相似……不对――。,"Map059.json,events,12,pages,6,list,23,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,6,list,25,parameters,0"
「怎、怎么……」,"Map059.json,events,12,pages,6,list,26,parameters,0"
他开始颤抖，对即将发生的命运感到恐惧。,"Map059.json,events,12,pages,6,list,28,parameters,0"
阿露娜,"Map059.json,events,12,pages,6,list,30,parameters,0"
「真的没事吗～？」,"Map059.json,events,12,pages,6,list,31,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,6,list,33,parameters,0"
「别、别管我！」,"Map059.json,events,12,pages,6,list,34,parameters,0"
他的脑袋变得一片空白，无法思考,"Map059.json,events,12,pages,6,list,36,parameters,0"
只能情绪化地回答阿露娜的问题,"Map059.json,events,12,pages,6,list,37,parameters,0"
表达担心。,"Map059.json,events,12,pages,6,list,38,parameters,0"
阿露娜,"Map059.json,events,12,pages,7,list,2,parameters,0"
「怎么了～？你口渴了吗？」,"Map059.json,events,12,pages,7,list,3,parameters,0"
敌人！\!,"Map059.json,events,12,pages,7,list,6,parameters,0"
慌忙地想要抽出剑……不，没有任何东西可以抽出。,"Map059.json,events,12,pages,7,list,7,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,7,list,9,parameters,0"
「啊……呜呜……！」,"Map059.json,events,12,pages,7,list,10,parameters,0"
刚才还\C[18]他\C[0]一见面就袭击他的阿露娜们,"Map059.json,events,12,pages,7,list,12,parameters,0"
现在却用像看待同伴一样的眼神看着他。,"Map059.json,events,12,pages,7,list,13,parameters,0"
通常情况下，不会对人类说『口渴了吗？』。\!,"Map059.json,events,12,pages,7,list,15,parameters,0"
这样说话是因为，对于阿露娜们来说,"Map059.json,events,12,pages,7,list,16,parameters,0"
现在的她们是同族，是伙伴――。,"Map059.json,events,12,pages,7,list,17,parameters,0"
阿露娜,"Map059.json,events,12,pages,7,list,19,parameters,0"
「需要阳光吗？,"Map059.json,events,12,pages,7,list,20,parameters,0"
如果从现在开始，去北边的建筑那边,"Map059.json,events,12,pages,7,list,21,parameters,0"
可以愉快地享受阳光和水哦～♪」,"Map059.json,events,12,pages,7,list,22,parameters,0"
太阳。日光。\!,"Map059.json,events,12,pages,7,list,24,parameters,0"
这个词在脑海中重复。,"Map059.json,events,12,pages,7,list,25,parameters,0"
太阳会分泌出花蜜，流动到全身成为营养,"Map059.json,events,12,pages,7,list,27,parameters,0"
水分则通过花蜜高效地活化。,"Map059.json,events,12,pages,7,list,28,parameters,0"
这是阿露娜所需要的营养。,"Map059.json,events,12,pages,7,list,29,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,7,list,32,parameters,0"
「（水……太阳）」,"Map059.json,events,12,pages,7,list,33,parameters,0"
感觉真好。,"Map059.json,events,12,pages,7,list,35,parameters,0"
就像人类泡温泉时,"Map059.json,events,12,pages,7,list,36,parameters,0"
吃喝一体的酒和小吃一样。,"Map059.json,events,12,pages,7,list,37,parameters,0"
\!一个可以享受两种乐趣。,"Map059.json,events,12,pages,7,list,38,parameters,0"
想象着同时享用这两样东西,"Map059.json,events,12,pages,7,list,41,parameters,0"
她的身体扭动着，愉悦的样子。,"Map059.json,events,12,pages,7,list,42,parameters,0"
\!\C[18]从出生开始就像阿尔劳内一样。,"Map059.json,events,12,pages,7,list,43,parameters,0"
阿尔劳内,"Map059.json,events,12,pages,7,list,45,parameters,0"
「脸色变好了吗？,"Map059.json,events,12,pages,7,list,46,parameters,0"
那我就先告辞了～」,"Map059.json,events,12,pages,7,list,47,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,7,list,50,parameters,0"
「哈！」,"Map059.json,events,12,pages,7,list,51,parameters,0"
现在，她在做什么呢。,"Map059.json,events,12,pages,7,list,53,parameters,0"
感受到阳光和水分，知道了,"Map059.json,events,12,pages,7,list,54,parameters,0"
这是多么舒服的事情。,"Map059.json,events,12,pages,7,list,55,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,7,list,58,parameters,0"
「（明明不应该在做这种事！）」,"Map059.json,events,12,pages,7,list,59,parameters,0"
现在必须赶快回到城里……！,"Map059.json,events,12,pages,7,list,61,parameters,0"
她发誓着。,"Map059.json,events,12,pages,7,list,62,parameters,0"
阿露娜,"Map059.json,events,12,pages,8,list,2,parameters,0"
「怎么了～？你口渴了吗？」,"Map059.json,events,12,pages,8,list,3,parameters,0"
\C[27]清彦,"Map059.json,events,12,pages,8,list,6,parameters,0"
